lnc_id	gene_id	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000251562	ENSG00000163638	0	0	0.5259711	Stg IV	0.7012948	MALAT1	ADAMTS9
ENSG00000245694	ENSG00000198826	0.7921056	0	0	Stg II	1.0561408	CRNDE	ARHGAP11A
ENSG00000245532	ENSG00000130429	0	0	0.588442	Stg IV	0.784589333333333	NEAT1	ARPC1B
ENSG00000255717	ENSG00000156127	0	0.7166796	0	Stg III	0.9555728	SNHG1	BATF
ENSG00000215417	ENSG00000119866	0.6419908	0	0	Stg II	0.855987733333333	MIR17HG	BCL11A
ENSG00000251562	ENSG00000126453	0	-0.5071897	0	Stg III	0.676252933333333	MALAT1	BCL2L12
ENSG00000177410	ENSG00000069399	0.4148849	0	0	Stg II	0.553179866666667	ZFAS1	BCL3
ENSG00000255717	ENSG00000145734	0.6498351	0	0	Stg II	0.8664468	SNHG1	BDP1
ENSG00000215417	ENSG00000145734	0.4682893	0	0	Stg II	0.624385733333333	MIR17HG	BDP1
ENSG00000245532	ENSG00000242252	0	0.8308159	0	Stg III	1.10775453333333	NEAT1	BGLAP
ENSG00000245694	ENSG00000136122	0.7111838	0	0	Stg II	0.948245066666667	CRNDE	BORA
ENSG00000255717	ENSG00000104221	0.7163856	0	0	Stg II	0.9551808	SNHG1	BRF2
ENSG00000268388	ENSG00000169679	0	0.7174734	0	Stg III	0.9566312	FENDRR	BUB1
ENSG00000255717	ENSG00000135387	0.8235688	0	0	Stg II	1.09809173333333	SNHG1	CAPRIN1
ENSG00000268388	ENSG00000184661	0	0.725468	0	Stg III	0.967290666666667	FENDRR	CDCA2
ENSG00000177410	ENSG00000170312	0.8693351	0	0	Stg II	1.15911346666667	ZFAS1	CDK1
ENSG00000245532	ENSG00000123374	0	0	0.8060267	Stg IV	1.07470226666667	NEAT1	CDK2
ENSG00000268388	ENSG00000138778	0	0.5945943	0	Stg III	0.7927924	FENDRR	CENPE
ENSG00000251562	ENSG00000102901	0	0	0.6871855	Stg IV	0.916247333333333	MALAT1	CENPT
ENSG00000268388	ENSG00000138180	0	0.8123126	0	Stg III	1.08308346666667	FENDRR	CEP55
ENSG00000268388	ENSG00000149554	0	0.6845921	0	Stg III	0.912789466666667	FENDRR	CHEK1
ENSG00000245694	ENSG00000130635	0.4067873	0	0	Stg II	0.542383066666667	CRNDE	COL5A1
ENSG00000245694	ENSG00000130309	0.6529429	0	0	Stg II	0.870590533333333	CRNDE	COLGALT1
ENSG00000245694	ENSG00000141030	0.6675725	0	0	Stg II	0.890096666666667	CRNDE	COPS3
ENSG00000206567	ENSG00000149532	0.3630458	0	0.7625838	Stg IV	0.774747866666667	AC022007.1	CPSF7
ENSG00000260917	ENSG00000149532	0.7200601	0	0	Stg II	0.960080133333333	AL158212.3	CPSF7
ENSG00000245532	ENSG00000105443	-0.4298136	0	0	Stg II	0.5730848	NEAT1	CYTH2
ENSG00000215417	ENSG00000128191	0.5797546	0	0	Stg II	0.773006133333333	MIR17HG	DGCR8
ENSG00000255717	ENSG00000128191	0.7307581	0	0	Stg II	0.974344133333333	SNHG1	DGCR8
ENSG00000260917	ENSG00000128191	0.7248875	0	0	Stg II	0.966516666666667	AL158212.3	DGCR8
ENSG00000245532	ENSG00000134815	0	0.5353192	0	Stg III	0.713758933333333	NEAT1	DHX34
ENSG00000251562	ENSG00000011332	0	-0.508396	0	Stg III	0.677861333333333	MALAT1	DPF1
ENSG00000197989	ENSG00000101412	0.6139913	0	0	Stg II	0.818655066666667	SNHG12	E2F1
ENSG00000177410	ENSG00000101412	0.6877271	0	0	Stg II	0.916969466666667	ZFAS1	E2F1
ENSG00000255717	ENSG00000101412	0.5608181	0	0	Stg II	0.747757466666667	SNHG1	E2F1
ENSG00000177410	ENSG00000205250	0.65276	0	0	Stg II	0.870346666666667	ZFAS1	E2F4
ENSG00000255717	ENSG00000205250	0.5964052	0	0	Stg II	0.795206933333333	SNHG1	E2F4
ENSG00000224418	ENSG00000169016	0.5753045	0	0	Stg II	0.767072666666667	STK24-AS1	E2F6
ENSG00000215417	ENSG00000169016	0.6690175	0	0	Stg II	0.892023333333333	MIR17HG	E2F6
ENSG00000251562	ENSG00000132394	0	0	0.5912869	Stg IV	0.788382533333333	MALAT1	EEFSEC
ENSG00000215417	ENSG00000141543	0.427866	0	0	Stg II	0.570488	MIR17HG	EIF4A3
ENSG00000255717	ENSG00000066044	0.7721323	0	0	Stg II	1.02950973333333	SNHG1	ELAVL1
ENSG00000215417	ENSG00000066044	0.6130548	0	0	Stg II	0.8174064	MIR17HG	ELAVL1
ENSG00000177410	ENSG00000066044	0.7548362	0	0	Stg II	1.00644826666667	ZFAS1	ELAVL1
ENSG00000197989	ENSG00000066044	0.6995718	0	0	Stg II	0.9327624	SNHG12	ELAVL1
ENSG00000224418	ENSG00000100393	0.6734897	0	0	Stg II	0.897986266666667	STK24-AS1	EP300
ENSG00000215417	ENSG00000100393	0.4887373	0	0	Stg II	0.651649733333333	MIR17HG	EP300
ENSG00000255717	ENSG00000100393	0.5765152	0	0	Stg II	0.768686933333333	SNHG1	EP300
ENSG00000251562	ENSG00000186871	0	0	0.6271346	Stg IV	0.836179466666667	MALAT1	ERCC6L
ENSG00000215417	ENSG00000182944	0.6810211	0	0	Stg II	0.908028133333333	MIR17HG	EWSR1
