lnc_id	gene_id	Stg.I	Stg.II	Stg.III	stage	score	lnc_name	gene_name
ENSG00000268388	ENSG00000161204	0	0.4372918	0	Stg II	0.583055733333333	FENDRR	ABCF3
ENSG00000268388	ENSG00000138443	0.1533264	0.6767835	0	Stg II	0.8001604	FENDRR	ABI2
ENSG00000245694	ENSG00000146386	0	0.4085382	0	Stg II	0.5447176	CRNDE	ABRACL
ENSG00000268388	ENSG00000181915	0.2934675	0.5685053	0	Stg II	0.562362066666667	FENDRR	ADO
ENSG00000245694	ENSG00000154027	0	0.4032546	0	Stg II	0.5376728	CRNDE	AK5
ENSG00000261824	ENSG00000091542	0	0.4370505	0	Stg II	0.582734	LINC00662	ALKBH5
ENSG00000268388	ENSG00000001629	0	0.4902078	0	Stg II	0.6536104	FENDRR	ANKIB1
ENSG00000245532	ENSG00000168096	0.6398313	0.2731312	0	Stg I	0.671020933333333	NEAT1	ANKS3
ENSG00000245694	ENSG00000135046	0	0.4692874	0	Stg II	0.625716533333333	CRNDE	ANXA1
ENSG00000245694	ENSG00000105290	0	0.4737941	0	Stg II	0.631725466666667	CRNDE	APLP1
ENSG00000268388	ENSG00000105290	0	0.7324181	0	Stg II	0.976557466666667	FENDRR	APLP1
ENSG00000268388	ENSG00000115239	0	0.426179	0	Stg II	0.568238666666667	FENDRR	ASB3
ENSG00000268388	ENSG00000085978	0.1641481	0.5347028	0	Stg II	0.603505	FENDRR	ATG16L1
ENSG00000268388	ENSG00000168397	0	0.4143751	0	Stg II	0.552500133333333	FENDRR	ATG4B
ENSG00000214049	ENSG00000149311	0.3898734	0	0	Stg I	0.5198312	UCA1	ATM
ENSG00000245532	ENSG00000158470	0.4206945	0	0	Stg I	0.560926	NEAT1	B4GALT5
ENSG00000245694	ENSG00000122507	0.1747976	0.4820755	0	Stg II	0.5262356	CRNDE	BBS9
ENSG00000197989	ENSG00000119866	0.7219967	0.3008622	0.3323362	Stg I	0.54053	SNHG12	BCL11A
ENSG00000245694	ENSG00000106605	0	0.3828843	0	Stg II	0.5105124	CRNDE	BLVRA
ENSG00000268388	ENSG00000165733	0	0.4251966	0	Stg II	0.5669288	FENDRR	BMS1
